type,value
ROOM,Fablab
SHELF,1
BOX,now
CATEGORY,Electronics
CATEGORY,Stationary
BOX,nnn
SHELF,2
ROOM,Rack
SHELF,3
SHELF,4
CATEGORY,Prastuti Science
BOX,roll
BOX,pack
CATEGORY,others
CATEGORY,others
SHELF,5
SHELF,9
SHELF,9
SHELF,8
SHELF,7
SHELF,7
CATEGORY,Chemicals
SHELF,6
BOX,gram
BOX,ml
BOX,no.
SHELF,11
SHELF,10
SHELF,12
SHELF,15
CATEGORY,Charts
CATEGORY,Charts
SHELF,16
BOX,kg
SHELF,14
CATEGORY,MDF
SHELF,12
SHELF,12
CATEGORY,Box
SHELF,13
CATEGORY,Prastuti Maths
SHELF,17
SHELF,18
SHELF,19
SHELF,20
SHELF,21
SHELF,22
SHELF,24
SHELF,25
SHELF,27
CATEGORY,Project for you kit
CATEGORY,Project for you kit
SHELF,28
CATEGORY,Anubhav
CATEGORY,Geomagic
ROOM,Mechanical Room
CATEGORY,Science kits
ROOM,Stock
ROOM,Stock
CATEGORY,kits
CATEGORY,IQNAAX
CATEGORY,Maths kits
