Column 7,ar,activity name ,materials req ,Quantity,note ,Common Crate,Universal Crate
,CLASS 8 TH,CLASS 8 TH,CLASS 8 TH,CLASS 8 TH,CLASS 8 TH,,
same,,,,,,,
same ,8.1.1,"Effect of
Vermicompost on
Plant Growth",Vermicompost ,"2 Container Full
30ml ",If Big Container available then use 1,Dropper-2,
,,,Paper Cups,10,,,
,,,Musturd Seeds,Small Zip Lock Packet,10gm,gumtape,
,,,,,, ,
same,,,,,,,
,8.2.1,"Observing
Microorganisms
Under a
Microscope","Beginner's slide set ",1,,,
,,,,,,,
,,,,,,,
,8.2.2,Monitoring Microbial Growth in Tap Water,"Culture plate",2,,,
,,,,,,,
,,,,,,2*100ml beaker,
,8.3.1,"Comparing Water Absorption in Cotton Cloth and Synthetic Fibre","cotton cloth",15cm*20cm,make 2 peice in one lenght cloth peice ,,
,,," synthetic fabric 
",15cm*20cm,,,
,,,"Beakers
",2,,,
,,,,,,Pair of tongs,
,,,,,,,
,8.4.1,"Burning of Magnesium Ribbon",Magnesium ribbon,1 Meter,,"spirit lamp",
,,,Sandpaper- 2 piece only,A6 Size - 1,make 4 pieces in 1 a4 size sandpaper,Safety goggles,
,,,,,,Watch Glass(50mm),
,,,,,,,
,"8.4.2
","Heating Glass Pieces to Observe Carbon Deposition",Small glass piece.(5cm*4cm),1,,Cleaning cloth15cm*20cm cotton,
,,,Candle,2,,,
,,,,,,Wire Mesh,
,,,,,,Tripod Stand,
,"8.4.3","Heating a Thin Metal Wire to Observe Heat Transfer
","Thin metal wire",12 inch,,,
,,,,,,,
,,,,,,,
,"8.4.4
","Testing the Flammability of Different Materials
",A6 Sheet,4,,,
,,,wood piece (1*1 *1cm),4,,,
,,,metal piece 2*2 cm,1,,,
,,,plastic - 2*2 cm,4,,,
,,,cloth(5cm*5cm),4,,,
,,,,,,,
,,,,,,Lighter -2,
,8.4.5,"Effect of Water on the Ignition Temperature of the material","Incense stick
5Rs Pack",,,,
,,,"Filter paper-10
",,,,
,,,,,,,Distelled Water
,,,,,,,Thread Roll
,"8.5.1","Observing the Life Cycle of a Frog
",Chart of the life cycle of a frog,1,,,
,,,,,,,
,,,,,,,40 Filter Paper
,"8.6.1","Demonstrating Magnetic Forces",Bar magnets,2,,,
,,,Car,2,,,
,,,Rubber Bands,5,small packet,,5 Pairs of Gloves(Blue Nitrile)
,,,,,,,
,,,,,,,Tray
,"8.6.2 ","Measuring Pressure Exerted by Liquids at Different Heights ",measuring cylinder with hole (500 ml),1,"three small holes at 400 ml, 300 ml, and 100 ml",,
,,,,,,,Test tube cleaner
,,,,,,,Washing Bottle
,8.7.1,"Comparing Friction on Different Surfaces using a spring Balance.",MDF Piece 21cm*15cm with Hole,1,,,
,,,Spring Balance,500gm/1kg,,,
,,,Sand paper,A4 Size -1,,sandpaper,
,,,Thread,2 Meter ,,,
,,,,,,,
,,,,,,,
,"8.7.2",Observing the Structure and Function of a Ball Bearing,Ball Bearing,1,,,
,,,,,,,
,,,,,,,
,"8.7.3 ","Measuring the Effect of Different Surfaces on Rolling Objects.",A sloping ramp with two Different surfaces,1,,,
,,,Toy Cars,1,,,
,,,match box,2,,,
,,,,,,,
,,,,,,,
,8.8.1,"Demonstrating Sound Vibration Using a Tuning Fork",Tuning fork-512 Hz,1,,,
,,,Glue Gun Stick,1,,,
,,,,,,,
,,,,,,,
,8.8.2,Exploring Ear Anatomy Using a 2D Model,"2D model of ear anatomy (provided in the kit).
",1,,,
,,,,,,,
,,,,,,,
,8.8.3,Producing Different Types of Waves Using a Slinky,Slinky,1,,,
,,,,,,,
,,,,,,,
, 8.10.1,"Observing Patterns in a  Kaleidoscope",Kaleidoscope,1,,,
,,,Rubber Pieces,Pack,,,
,,,,,,,
,,,,,,,
,8.10.2,"Verifying the Laws of Reflection Using a Plane Mirror",Laser,1,,,
,,,Reflection Kit(protractor and mirror),1,,,
,,,,,,,
,,,,,,,
,"8.10.3",Observing Multiple Image Formation Using a Hinge Mirror System,Two mirrors are connected via a hinge system.,1,,,
,,            ,Angle print sheet,1,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Chapter,Activity,Required Components (List),Kit Ready,Status,,,
2,2.1: Microscope Slide Gallery,Ready-made slides (6 white colour box),☐,,,,
2,2.2: Plant/Animal Cell chart,MDF chart,☐,,,,
2,2.3: Yeast at Work,"Active yeast, Sugar, Bottle, Tape, Water, Balloon",☐,,,,
3,3.1: Diseases Chart,MDF Chart,☐,,,,
3,3.2: Measuring body Temp,"MDF Chart, IR thermometer",☐,,,,
3,3.3: Hand wash chart,MDF Chart,☐,,,,
4,4.1: Magnetic Effect,"Electric cell, Holder, Wires, Switch, Compass, Cardboard, 2 Nails",☐,,,,
4,4.2: Electromagnet Build,"Wire, Nail, Battery, Holder, Switch, Tape, Compass, Clips",☐,,,,
4,4.3: Dry Cell Dissection,Dissection Chart,☐,,,,
5,5.1: Electroscope,Comb,☐,,,,
5,5.2: Measuring Friction,"Wood block, Spring balance, Thread, Paper, Plastic, Cloth, Sandpaper, Weights, Ramp/Car",☐,,,,
5,5.3: Magnetic/Electrostatic,"Bar magnets, Comb/Straw, Cloth, Paper, Balloons, Thread",☐,,,,
5,5.4: Weight & Upthrust,"Spring balance, Metal bob, Thread, Beaker, Water, Tray",☐,,,,
6,6.1: Air Pressure,"Syringe, 2 Balloons, Straw, Thread, Tape",☐,,,,
6,6.2: Vortex Model,"2 Bottles, Water, Connector/Tape, Colour/Glitter, Tray",☐,,,,
7,7.1: Particle Model,"Thermocol balls, 3 Containers, Tray, Labels",☐,,,,
7,7.2: Compression Test,"2 Syringes, Water, Beaker",☐,,,,
7,7.3: Sugar Dissolution,"Cylinder, Water, Sugar, Rod, Spoon, Marker",☐,,,,
